epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4948,1.69136,3.91754,1.26804,0.4746,0.04788,0.11443,0.0613,1.72559,3.43268,1.1768,0.000300295,0.000300295,0.000300295
2,78.0811,1.77855,3.15403,1.27171,0.22562,0.2806,0.20753,0.09634,1.83979,2.64433,1.31352,0.000597322,0.000597322,0.000597322
3,120.247,1.87256,2.71576,1.32253,0.24036,0.26683,0.2055,0.0949,1.85232,2.5113,1.32792,0.00088835,0.00088835,0.00088835
4,162.453,1.8739,2.47458,1.31958,0.26356,0.37476,0.27128,0.12285,1.87883,2.39289,1.3315,0.000882003,0.000882003,0.000882003
5,204.131,1.7986,2.30256,1.2882,0.30335,0.31485,0.30667,0.14859,1.81741,2.24815,1.31684,0.000873004,0.000873004,0.000873004
6,246.74,1.80835,2.19463,1.28509,0.37793,0.4176,0.33897,0.16883,1.80565,2.1174,1.31215,0.000864004,0.000864004,0.000864004
7,288.65,1.75324,2.15329,1.29845,0.40912,0.39629,0.35201,0.1822,1.78101,1.93256,1.2799,0.000855005,0.000855005,0.000855005
8,330.782,1.69968,2.0822,1.27459,0.39162,0.46378,0.41193,0.21104,1.78623,2.00061,1.29619,0.000846006,0.000846006,0.000846006
9,372.792,1.70232,2.00337,1.29255,0.52173,0.40605,0.43976,0.22156,1.73833,1.83086,1.27338,0.000837007,0.000837007,0.000837007
10,414.504,1.68072,1.94859,1.26275,0.60228,0.43397,0.48011,0.25672,1.70114,1.71433,1.25734,0.000828008,0.000828008,0.000828008
11,455.952,1.68678,1.9057,1.26423,0.48605,0.46805,0.46719,0.25085,1.70935,1.7729,1.25126,0.000819009,0.000819009,0.000819009
12,497.081,1.6726,1.88308,1.25816,0.60007,0.46789,0.49548,0.253,1.75966,1.78915,1.26217,0.00081001,0.00081001,0.00081001
13,538.831,1.6673,1.82438,1.24101,0.53418,0.52639,0.51503,0.26399,1.70744,1.70379,1.25895,0.000801011,0.000801011,0.000801011
14,580.501,1.61303,1.76958,1.21406,0.47354,0.51939,0.47696,0.239,1.73397,1.7364,1.27113,0.000792012,0.000792012,0.000792012
15,622.307,1.63508,1.73265,1.23265,0.59867,0.50075,0.52917,0.28217,1.68829,1.67434,1.25626,0.000783013,0.000783013,0.000783013
16,663.643,1.63333,1.69456,1.22713,0.52913,0.50091,0.49549,0.2712,1.72171,1.71993,1.27249,0.000774013,0.000774013,0.000774013
17,705.013,1.59663,1.6649,1.22169,0.57759,0.52212,0.54528,0.29053,1.69384,1.59989,1.25415,0.000765014,0.000765014,0.000765014
18,746.934,1.57063,1.66294,1.21428,0.55871,0.52149,0.52165,0.25417,1.75943,1.70744,1.27647,0.000756015,0.000756015,0.000756015
